"","V1","V2"
"1","ANPEP.01","808"
"2","ANPEP.02","2821"
"3","ANTXR1.01","359"
"4","ANTXR1.04","1077"
"5","ANTXR1.10","654"
"6","AXL.01","743"
"7","AXL.02","587"
"8","AXL.03","946"
"9","AXL.04","AXL.04"
"10","CD38.01","603"
"11","CD38.02","189"
"12","CD55.03","1989"
"13","CD55.04","109"
"14","CD59.01","376"
"15","CD59.02","179"
"16","CD59.03","202"
"17","CDCP1.01","12920"
"18","CDCP1.03","13998"
"19","CDCP1.04","7548"
"20","CSF1R.01","310"
"21","CSF1R.02","3198"
"22","CXADR.03","4113"
"23","CXADR.05","3943"
"24","CXADR.17","7892"
"25","CXADR.22","3232"
"26","DDR1.01","1825"
"27","DDR2.01","DDR2.01"
"28","EGFR.01","5062"
"29","EPHA1.04","43"
"30","EPHA10.01","4"
"31","EPHA10.02","EPHA10.02"
"32","EPHA10.03","EPHA10.03"
"33","EPHA2.01","EPHA2.01"
"34","EPHA2.02","EPHA2.02"
"35","EPHA2.04","EPHA2.04"
"36","EPHA4.01","10924"
"37","EPHA4.02","3"
"38","EPHA4.03","EPHA4.03"
"39","EPHA4.04","9"
"40","EPHA5.02","2"
"41","EPHA5.03","4"
"42","EPHA5.04","EPHA5.04"
"43","EPHA6.01","10"
"44","EPHA6.02","13"
"45","EPHA6.03","EPHA6.03"
"46","EPHA6.04","5"
"47","EPHA7.01","51"
"48","EPHA7.02","EPHA7.02"
"49","EPHA7.03","EPHA7.03"
"50","EPHA7.04","4"
"51","EPHA8.01","12"
"52","EPHB2.01","24"
"53","EPHB2.03","EPHB2.03"
"54","EPHB3.01","EPHB3.01"
"55","EPHB3.02","EPHB3.02"
"56","EPHB3.03","EPHB3.03"
"57","EPHB3.04","EPHB3.04"
"58","EPHB4.01","EPHB4.01"
"59","EPHB4.02","EPHB4.02"
"60","EPHB4.03","1026"
"61","EPHB6.01","46"
"62","EPHB6.02","114"
"63","FGFR1b.01","28"
"64","FGFR2.01","1"
"65","FGFR2.02","FGFR2.02"
"66","FGFR2.03","FGFR2.03"
"67","FGFR2b.01","FGFR2b.01"
"68","FGFR2b.02","FGFR2b.02"
"69","FGFR2c.01","1"
"70","FGFR2c.02","1"
"71","FGFR4.01","55"
"72","FGFR4.02","145"
"73","FGFR4.03","FGFR4.03"
"74","FGFR4.04","FGFR4.04"
"75","FLT3.01","3868"
"76","FLT3.02","675"
"77","FLT3.03","119"
"78","FLT3.04","16"
"79","ICAM1.10","288"
"80","ICAM1.13","5055"
"81","ICAM1.20","4797"
"82","INSR.01","113"
"83","INSR.02","4"
"84","INSR.03","2"
"85","KIT.01","KIT.01"
"86","KIT.02","KIT.02"
"87","LTBR.01","205"
"88","LTBR.02","LTBR.02"
"89","LTBR.03","194"
"90","MER.01","3"
"91","MER.02","1"
"92","MER.03","MER.03"
"93","MER.04","MER.04"
"94","MET.01","MET.01"
"95","MET.02","MET.02"
"96","MET.03","MET.03"
"97","MET.04","MET.04"
"98","NCR3LG1.01","1410"
"99","NCR3LG1.05","NCR3LG1.05"
"100","NCR3LG1.06","526"
"101","NCR3LG1.07","NCR3LG1.07"
"102","NCR3LG1.12","640"
"103","NCR3LG1.13","NCR3LG1.13"
"104","NCR3LG1.14","1592"
"105","NCR3LG1.15","NCR3LG1.15"
"106","NCR3LG1.16","NCR3LG1.16"
"107","NECTIN1.03","207"
"108","NECTIN1.04","541"
"109","NECTIN1.13","549"
"110","NECTIN1.14","3746"
"111","NTRK1.01","2"
"112","NTRK1.03","NTRK1.03"
"113","NTRK1.04","6"
"114","NTRK2.01","NTRK2.01"
"115","NTRK2.02","NTRK2.02"
"116","NTRK2.03","NTRK2.03"
"117","NTRK2.04","NTRK2.04"
"118","NTRK3.01","1"
"119","NTRK3.02","917"
"120","NTRK3.03","2"
"121","PDGFRA.01","PDGFRA.01"
"122","PDGFRA.02","PDGFRA.02"
"123","PDGFRA.03","PDGFRA.03"
"124","PDGFRA.04","PDGFRA.04"
"125","PDGFRB.01","1489"
"126","PDGFRB.02","3892"
"127","PDGFRB.03","974"
"128","PDGFRB.04","PDGFRB.04"
"129","PTK7.01","PTK7.01"
"130","PTK7.02","1490"
"131","PTK7.03","4110"
"132","PTK7.04","PTK7.04"
"133","RET.01","RET.01"
"134","RET.02","RET.02"
"135","RON.01","1887"
"136","RON.02","RON.02"
"137","RON.03","RON.03"
"138","RON.04","1712"
"139","ROR1.01","ROR1.01"
"140","ROR1.02","152"
"141","ROR1.03","ROR1.03"
"142","ROR1.04","1915"
"143","ROR1.05","ROR1.05"
